Material,Material Description,Plant,Storage Location,Movement Type,Posting Date,Qty in Un. of Entry,Unit of Entry,Movement Type Text,Document Date,Qty in OPUn,Order Price Unit,Order Unit,Qty in order unit,Entry Date,Amount in LC,Purchase Order,Movement indicator,Base Unit of Measure,Quantity,Material Doc. Year,Debit/Credit ind,Trans./Event Type,Material Type,Vendor Code
31000014,WASTE BANIAN CLOTH,8110,HVAC,101,2021-03-29,30,KG,GR goods receipt,2021-03-26,30,KG,KG,30,2021-03-29,1773,4400048138.0,B,KG,30,2021,S,WE,ZCON,54080.0
31000014,WASTE BANIAN CLOTH,8110,BOIS,101,2020-09-22,100,KG,GR goods receipt,2020-09-22,100,KG,KG,100,2020-09-22,9000,4400045528.0,B,KG,100,2020,S,WE,ZCON,54080.0
31000019,RUBBER GASKET - 3MM,8110,BOIS,101,2020-06-25,58,KG,GR goods receipt,2020-06-15,58,KG,KG,58,2020-06-25,3190,4400042814.0,B,KG,58,2020,S,WE,ZCON,54080.0
31000020,RUBBER GASKET - 5MM,8110,HVAC,101,2020-09-01,162,KG,GR goods receipt,2020-08-31,162,KG,KG,162,2020-09-01,8910,4400044789.0,B,KG,162,2020,S,WE,ZCON,50424.0
31000020,RUBBER GASKET - 5MM,8110,BOIS,101,2020-06-25,71,KG,GR goods receipt,2020-06-15,71,KG,KG,71,2020-06-25,3905,4400042814.0,B,KG,71,2020,S,WE,ZCON,52036.0
31000022,DOUBLE GUM TAPE,8110,EQSP,101,2020-12-30,10,NO,GR goods receipt,2020-12-30,10,NO,NO,10,2020-12-30,5950,4400047017.0,B,NO,10,2020,S,WE,ZCON,52036.0
31000022,DOUBLE GUM TAPE,8110,EQSP,101,2020-06-06,5,NO,GR goods receipt,2020-06-05,5,NO,NO,5,2020-06-06,2975,4400042264.0,B,NO,5,2020,S,WE,ZCON,53595.0
31000025,R134A  REFRIGERANT GAS,8110,HVAC,101,2021-02-11,124,KG,GR goods receipt,2021-02-10,124,KG,KG,124,2021-02-11,55800,4400048131.0,B,KG,124,2021,S,WE,ZCON,53595.0
31000025,R134A  REFRIGERANT GAS,8110,HVAC,101,2020-08-19,62,KG,GR goods receipt,2020-08-19,62,KG,KG,62,2020-08-19,27900,4400044209.0,B,KG,62,2020,S,WE,ZCON,55316.0
31000025,R134A  REFRIGERANT GAS,8110,UTL,101,2020-06-19,62,KG,GR goods receipt,2020-06-18,62,KG,KG,62,2020-06-19,27900,4400042432.0,B,KG,62,2020,S,WE,ZCON,55316.0
31000025,R134A  REFRIGERANT GAS,8110,HVAC,101,2020-05-22,62,KG,GR goods receipt,2020-05-21,62,KG,KG,62,2020-05-22,23560,4400039863.0,B,KG,62,2020,S,WE,ZCON,52036.0
31000027,"1"" TC GASKET - SILICON",8110,EQSP,101,2021-02-11,20,NO,GR goods receipt,2021-01-31,20,NO,NO,20,2021-02-11,560,4400048030.0,B,NO,20,2021,S,WE,ZCON,55541.0
31000027,"1"" TC GASKET - SILICON",8110,PRCN,101,2021-02-11,200,NO,GR goods receipt,2021-01-31,200,NO,NO,200,2021-02-11,5600,4400048030.0,B,NO,200,2021,S,WE,ZCON,50424.0
31000027,"1"" TC GASKET - SILICON",8110,EQSP,101,2021-02-11,100,NO,GR goods receipt,2021-01-31,100,NO,NO,100,2021-02-11,2800,4400048030.0,B,NO,100,2021,S,WE,ZCON,51203.0
31000027,"1"" TC GASKET - SILICON",8110,UTL,101,2020-11-05,100,NO,GR goods receipt,2020-10-22,100,NO,NO,100,2020-11-05,2800,4400045992.0,B,NO,100,2020,S,WE,ZCON,50424.0
31000027,"1"" TC GASKET - SILICON",8110,PRCN,101,2020-11-05,500,NO,GR goods receipt,2020-10-22,500,NO,NO,500,2020-11-05,14000,4400045992.0,B,NO,500,2020,S,WE,ZCON,53595.0
31000027,"1"" TC GASKET - SILICON",8110,UTL,101,2020-11-05,200,NO,GR goods receipt,2020-10-22,200,NO,NO,200,2020-11-05,5600,4400045992.0,B,NO,200,2020,S,WE,ZCON,53595.0
31000027,"1"" TC GASKET - SILICON",8110,UTL,101,2020-11-05,50,NO,GR goods receipt,2020-10-17,50,NO,NO,50,2020-11-05,1400,4400045992.0,B,NO,50,2020,S,WE,ZCON,53595.0
31000027,"1"" TC GASKET - SILICON",8110,EQSP,101,2020-07-28,100,NO,GR goods receipt,2020-07-24,100,NO,NO,100,2020-07-28,2800,4400040017.0,B,NO,100,2020,S,WE,ZCON,53595.0
31000027,"1"" TC GASKET - SILICON",8110,EQSP,101,2020-06-12,100,NO,GR goods receipt,2020-05-29,100,NO,NO,100,2020-06-12,2800,4400041142.0,B,NO,100,2020,S,WE,ZCON,50424.0
31000028,"1.5"" TC GASKET - SILICON",8110,UTL,101,2020-11-05,100,NO,GR goods receipt,2020-10-17,100,NO,NO,100,2020-11-05,2800,4400045992.0,B,NO,100,2020,S,WE,ZCON,55316.0
31000028,"1.5"" TC GASKET - SILICON",8110,PRCN,101,2020-08-29,500,NO,GR goods receipt,2020-08-20,500,NO,NO,500,2020-08-29,14000,4400044328.0,B,NO,500,2020,S,WE,ZCON,50424.0
31000028,"1.5"" TC GASKET - SILICON",8110,EQSP,101,2020-07-28,150,NO,GR goods receipt,2020-07-24,150,NO,NO,150,2020-07-28,4200,4400040017.0,B,NO,150,2020,S,WE,ZCON,55316.0
31000028,"1.5"" TC GASKET - SILICON",8110,EQSP,101,2020-06-12,200,NO,GR goods receipt,2020-05-29,200,NO,NO,200,2020-06-12,5600,4400041142.0,B,NO,200,2020,S,WE,ZCON,55316.0
31000029,"SS 304 1.5"" TC CLAMPS - CASTING",8110,PRCN,101,2020-06-24,50,NO,GR goods receipt,2020-06-24,50,NO,NO,50,2020-06-24,8730,4400042118.0,B,NO,50,2020,S,WE,ZCON,53595.0
31000042,"1"" Y TYPE STRAINER",8320,RD01,101,2020-07-20,2,NO,GR goods receipt,2020-07-18,2,NO,NO,2,2020-07-20,612,4400043588.0,B,NO,2,2020,S,WE,ZCON,56452.0
31000042,"1"" Y TYPE STRAINER",8320,RD01,101,2020-06-06,2,NO,GR goods receipt,2020-06-04,2,NO,NO,2,2020-06-06,1805,4400042053.0,B,NO,2,2020,S,WE,ZCON,50424.0
31000069,30550867-VALVE COVER GASKET(HP),8110,BOIS,101,2020-05-04,20,NO,GR goods receipt,2020-05-02,20,NO,NO,20,2020-05-04,3780,4400039586.0,B,NO,20,2020,S,WE,ZCON,56452.0
31000071,95062469-RING PACKING(HP),8110,BOIS,101,2020-05-04,3,PAC,GR goods receipt,2020-05-02,3,PAC,PAC,3,2020-05-04,12960,4400039586.0,B,PAC,3,2020,S,WE,ZCON,56452.0
31000072,39312962-GASKET PACKING CASE-HP,8110,BOIS,101,2020-05-04,2,NO,GR goods receipt,2020-05-02,2,NO,NO,2,2020-05-04,504,4400039586.0,B,NO,2,2020,S,WE,ZCON,50364.0
31000074,65 NB BUTTERFLY VALVES,8110,HVAC,101,2021-03-06,6,NO,GR goods receipt,2021-03-05,6,NO,NO,6,2021-03-06,6708,4400049002.0,B,NO,6,2021,S,WE,ZCON,50424.0
31000074,65 NB BUTTERFLY VALVES,8110,HVAC,101,2021-02-06,10,NO,GR goods receipt,2021-02-04,10,NO,NO,10,2021-02-06,12590,4400048147.0,B,NO,10,2021,S,WE,ZCON,50424.0
31000075,50 NB BUTTERFLY VALVES,8110,BOIS,101,2021-02-13,10,NO,GR goods receipt,2021-02-12,10,NO,NO,10,2021-02-13,10080,4400048149.0,B,NO,10,2021,S,WE,ZCON,50424.0
31000075,50 NB BUTTERFLY VALVES,8110,BOIS,101,2020-06-25,5,NO,GR goods receipt,2020-06-15,5,NO,NO,5,2020-06-25,5040,4400042814.0,B,NO,5,2020,S,WE,ZCON,53657.0
31000075,50 NB BUTTERFLY VALVES,8110,HVAC,101,2020-06-04,10,NO,GR goods receipt,2020-06-03,10,NO,NO,10,2020-06-04,12000,4400042073.0,B,NO,10,2020,S,WE,ZCON,53657.0
31000088,HACKSAW FRAME,8110,BOIS,101,2020-09-23,5,NO,GR goods receipt,2020-09-22,5,NO,NO,5,2020-09-23,700,4400045511.0,B,NO,5,2020,S,WE,ZCON,50424.0
31000095,MEASURING TAPE: 5 MTRS,8110,HVAC,101,2021-02-16,2,NO,GR goods receipt,2021-02-16,2,NO,NO,2,2021-02-16,150,4400048135.0,B,NO,2,2021,S,WE,ZCON,55331.0
31000095,MEASURING TAPE: 5 MTRS,8110,UTL,101,2020-11-10,2,NO,GR goods receipt,2020-10-26,2,NO,NO,2,2020-11-10,150,4400046317.0,B,NO,2,2020,S,WE,ZCON,58225.0
31000095,MEASURING TAPE: 5 MTRS,8110,CCPJ,101,2020-11-10,3,NO,GR goods receipt,2020-10-17,3,NO,NO,3,2020-11-10,225,4400046317.0,B,NO,3,2020,S,WE,ZCON,51203.0
31000095,MEASURING TAPE: 5 MTRS,8110,CCPJ,101,2020-09-22,1,NO,GR goods receipt,2020-09-22,1,NO,NO,1,2020-09-22,75,4400045547.0,B,NO,1,2020,S,WE,ZCON,50424.0
31000099,"RING WEARING 6""(P.NO.70268123W)",8110,BOIS,101,2020-07-22,2,NO,GR goods receipt,2020-07-22,2,NO,NO,2,2020-07-22,5760,4400039586.0,B,NO,2,2020,S,WE,ZCON,50424.0
31000112,POWER CONTRACTOR 12A,8110,INSP,101,2021-02-01,2,NO,GR goods receipt,2021-01-29,2,NO,NO,2,2021-02-01,1514,4400047023.0,B,NO,2,2021,S,WE,ZCON,50424.0
31000112,POWER CONTRACTOR 12A,8110,INSP,101,2021-02-01,2,NO,GR goods receipt,2021-01-29,2,NO,NO,2,2021-02-01,1514,4400046722.0,B,NO,2,2021,S,WE,ZCON,50424.0
31000124,"RELAY, TERMINAL BLOCK",8110,INSP,101,2021-02-01,100,NO,GR goods receipt,2021-01-29,100,NO,NO,100,2021-02-01,34190,4400046722.0,B,NO,100,2021,S,WE,ZCON,50424.0
31000124,"RELAY, TERMINAL BLOCK",8110,INSP,101,2021-02-01,100,NO,GR goods receipt,2021-01-29,100,NO,NO,100,2021-02-01,34190,4400047023.0,B,NO,100,2021,S,WE,ZCON,53595.0
31000144,V BELT B 72 FENNER,8110,EQSP,101,2020-09-12,6,NO,GR goods receipt,2020-09-12,6,NO,NO,6,2020-09-12,2020,4400044783.0,B,NO,6,2020,S,WE,ZCON,50048.0
31000147,"COPPER PIPE SOFT 1/2""",8110,HVAC,101,2020-08-13,20,M,GR goods receipt,2020-08-13,20,M,M,20,2020-08-13,3000,4400044335.0,B,M,20,2020,S,WE,ZCON,53657.0
31000150,"TEE 1"" SS 316L E.P",8110,EQSP,101,2021-03-31,25,NO,GR goods receipt,2021-03-23,25,NO,NO,25,2021-03-31,4800,4400049430.0,B,NO,25,2021,S,WE,ZCON,53657.0
31000150,"TEE 1"" SS 316L E.P",8110,EQSP,102,2021-03-31,-25,NO,GR for PO   reversal,2021-03-23,-25,NO,NO,-25,2021-03-31,-4800,4400049430.0,B,NO,-25,2021,H,WE,ZCON,52674.0
31000150,"TEE 1"" SS 316L E.P",8110,EQSP,101,2021-03-29,25,NO,GR goods receipt,2021-03-23,25,NO,NO,25,2021-03-29,4800,4400049430.0,B,NO,25,2021,S,WE,ZCON,53657.0
31000150,"TEE 1"" SS 316L E.P",8110,EQSP,101,2020-06-06,10,NO,GR goods receipt,2020-06-05,10,NO,NO,10,2020-06-06,2900,4400040244.0,B,NO,10,2020,S,WE,ZCON,50424.0
31000152,V BELT B 68 FENNER,8110,BOIS,101,2020-12-31,12,NO,GR goods receipt,2020-12-30,12,NO,NO,12,2020-12-31,3855,4400047062.0,B,NO,12,2020,S,WE,ZCON,54072.0
31000153,V BELT A 56,8110,HVAC,101,2021-02-13,30,NO,GR goods receipt,2021-02-12,30,NO,NO,30,2021-02-13,5818,4400048149.0,B,NO,30,2021,S,WE,ZCON,50424.0
31000153,V BELT A 56,8110,HVAC,101,2021-01-28,26,NO,GR goods receipt,2021-01-28,26,NO,NO,26,2021-01-28,5042,4400047976.0,B,NO,26,2021,S,WE,ZCON,56452.0
31000159,"MS NIPPLE 1""X6"" LENGTH C CLASS THREADING",8110,HVAC,101,2020-12-31,10,NO,GR goods receipt,2020-12-29,10,NO,NO,10,2020-12-31,250,4400047085.0,B,NO,10,2020,S,WE,ZCON,55685.0
31000159,"MS NIPPLE 1""X6"" LENGTH C CLASS THREADING",8110,BOIS,101,2020-09-10,5,NO,GR goods receipt,2020-09-09,5,NO,NO,5,2020-09-10,115,4400045287.0,B,NO,5,2020,S,WE,ZCON,52036.0
31000159,"MS NIPPLE 1""X6"" LENGTH C CLASS THREADING",8110,HVAC,101,2020-08-13,16,NO,GR goods receipt,2020-08-12,16,NO,NO,16,2020-08-13,400,4400042516.0,B,NO,16,2020,S,WE,ZCON,56493.0
31000161,"MS NIPPLE 3/4""X6"" C CLASS THREADING",8110,BOIS,101,2020-09-10,5,NO,GR goods receipt,2020-09-09,5,NO,NO,5,2020-09-10,90,4400045287.0,B,NO,5,2020,S,WE,ZCON,55316.0
31000166,CHLORINE TEST KIT MAKE: ION EXCHANGE,8110,UTL,101,2020-09-09,3,NO,GR goods receipt,2020-09-03,3,NO,NO,3,2020-09-09,4437,4400042542.0,B,NO,3,2020,S,WE,ZCON,55316.0
31000166,CHLORINE TEST KIT MAKE: ION EXCHANGE,8110,BOIS,101,2020-07-29,10,NO,GR goods receipt,2020-07-22,10,NO,NO,10,2020-07-29,14790,4400043489.0,B,NO,10,2020,S,WE,ZCON,50424.0
31000167,"TEFLON TAPE 1"" CHAMPION",8110,BOIS,101,2020-08-06,24,NO,GR goods receipt,2020-08-06,24,NO,NO,24,2020-08-06,1080,4400044101.0,B,NO,24,2020,S,WE,ZCON,57680.0
31000167,"TEFLON TAPE 1"" CHAMPION",8110,EQSP,101,2020-06-01,100,NO,GR goods receipt,2020-05-30,100,NO,NO,100,2020-06-01,4500,4400042079.0,B,NO,100,2020,S,WE,ZCON,58569.0
31000204,"DIAPHRAGM SIZE:DN25,EPDM.TYPE:SCREW,GRAD",8110,UTL,101,2021-02-20,10,NO,GR goods receipt,2021-02-19,10,NO,NO,10,2021-02-20,5787,4400048451.0,B,NO,10,2021,S,WE,ZCON,53657.0
31000204,"DIAPHRAGM SIZE:DN25,EPDM.TYPE:SCREW,GRAD",8110,UTL,101,2020-11-06,30,NO,GR goods receipt,2020-10-22,30,NO,NO,30,2020-11-06,17361,4400046328.0,B,NO,30,2020,S,WE,ZCON,58516.0
31000204,"DIAPHRAGM SIZE:DN25,EPDM.TYPE:SCREW,GRAD",8110,EQSP,101,2020-09-26,80,NO,GR goods receipt,2020-09-25,80,NO,NO,80,2020-09-26,46296,4400045300.0,B,NO,80,2020,S,WE,ZCON,53595.0
31000204,"DIAPHRAGM SIZE:DN25,EPDM.TYPE:SCREW,GRAD",8110,EQSP,101,2020-07-17,252,NO,GR goods receipt,2020-07-16,252,NO,NO,252,2020-07-17,145832,4400041716.0,B,NO,252,2020,S,WE,ZCON,56452.0
31000204,"DIAPHRAGM SIZE:DN25,EPDM.TYPE:SCREW,GRAD",8110,EQSP,101,2020-05-23,48,NO,GR goods receipt,2020-05-21,48,NO,NO,48,2020-05-23,27778,4400041716.0,B,NO,48,2020,S,WE,ZCON,50424.0
31000207,"SCREW SPANNER 10"" TAPARIA",8110,UTL,101,2020-09-23,6,NO,GR goods receipt,2020-09-22,6,NO,NO,6,2020-09-23,1416,4400045511.0,B,NO,6,2020,S,WE,ZCON,53657.0
31000207,"SCREW SPANNER 10"" TAPARIA",8110,EQSP,101,2020-06-01,5,NO,GR goods receipt,2020-05-30,5,NO,NO,5,2020-06-01,1267,4400042079.0,B,NO,5,2020,S,WE,ZCON,51462.0
31000208,ALLEN KEY SET INCHES MAKE: TAPARIA,8110,EQSP,101,2020-06-01,3,PAC,GR goods receipt,2020-05-30,3,PAC,PAC,3,2020-06-01,464,4400042079.0,B,PAC,3,2020,S,WE,ZCON,53595.0
31000233,"BEARING NJ 304, C3, MAKE: SKF",8320,RD01,101,2021-03-18,2,NO,GR goods receipt,2021-03-15,2,NO,NO,2,2021-03-18,4199,4400049468.0,B,NO,2,2021,S,WE,ZCON,55685.0
31000243,GREASE(SERVO/CASTROL),8110,BOIS,101,2020-08-17,20,KG,GR goods receipt,2020-08-17,20,KG,KG,20,2020-08-17,5600,4400044207.0,B,KG,20,2020,S,WE,ZCON,55685.0
31000256,"MS BOLTS, NUTS WITH WASHERS 1/2""X4""",8110,HVAC,101,2020-06-04,10,KG,GR goods receipt,2020-06-03,10,KG,KG,10,2020-06-04,650,4400042073.0,B,KG,10,2020,S,WE,ZCON,55685.0
31000257,"36W TUBE LIGHTS, 4"" MAKE: PHILLIPS",8320,RD01,101,2020-09-16,15,NO,GR goods receipt,2020-09-16,15,NO,NO,15,2020-09-16,480,4400039701.0,B,NO,15,2020,S,WE,ZCON,55685.0
31000265,"CUTTING PLAYER SIZE:6""",8110,4017,101,2020-05-30,1,NO,GR goods receipt,2020-05-30,1,NO,NO,1,2020-05-30,164,4400042001.0,B,NO,1,2020,S,WE,ZCON,55685.0
31000266,FLAT SPANNER 8-9,8110,EQSP,101,2020-06-01,3,NO,GR goods receipt,2020-05-30,3,NO,NO,3,2020-06-01,57,4400042079.0,B,NO,3,2020,S,WE,ZCON,55685.0
31000269,PU PIPE8MM OD X 6MM ID,8110,UTL,101,2021-02-11,50,M,GR goods receipt,2021-02-05,50,M,M,50,2021-02-11,2790,4400048190.0,B,M,50,2021,S,WE,ZCON,55685.0
31000270,PU PIPE 6MM ODX4MM ID,8110,UTL,101,2021-03-16,100,M,GR goods receipt,2021-03-13,100,M,M,100,2021-03-16,4275,4400049568.0,B,M,100,2021,S,WE,ZCON,55685.0
31000270,PU PIPE 6MM ODX4MM ID,8110,HVAC,101,2021-03-11,50,M,GR goods receipt,2021-03-10,50,M,M,50,2021-03-11,1663,4400049505.0,B,M,50,2021,S,WE,ZCON,55685.0
31000270,PU PIPE 6MM ODX4MM ID,8110,BOIS,101,2021-03-05,100,M,GR goods receipt,2021-03-01,100,M,M,100,2021-03-05,4050,4400049011.0,B,M,100,2021,S,WE,ZCON,55685.0
31000270,PU PIPE 6MM ODX4MM ID,8110,HVAC,101,2021-02-11,50,M,GR goods receipt,2021-02-05,50,M,M,50,2021-02-11,2025,4400048190.0,B,M,50,2021,S,WE,ZCON,55685.0
31000270,PU PIPE 6MM ODX4MM ID,8110,UTL,101,2020-10-20,150,M,GR goods receipt,2020-10-15,150,M,M,150,2020-10-20,6075,4400045500.0,B,M,150,2020,S,WE,ZCON,55685.0
31000270,PU PIPE 6MM ODX4MM ID,8110,BOIS,101,2020-09-15,150,M,GR goods receipt,2020-09-11,150,M,M,150,2020-09-15,6075,4400044737.0,B,M,150,2020,S,WE,ZCON,55685.0
31000270,PU PIPE 6MM ODX4MM ID,8110,BOIS,101,2020-08-06,100,M,GR goods receipt,2020-08-06,100,M,M,100,2020-08-06,3000,4400043782.0,B,M,100,2020,S,WE,ZCON,55685.0
31000278,V BELT A-31 FENNER MAKE,8320,RD01,101,2020-06-04,30,NO,GR goods receipt,2020-06-01,30,NO,NO,30,2020-06-04,3726,4400042050.0,B,NO,30,2020,S,WE,ZCON,55685.0
31000287,V BELT B 55 FENNER MAKE,8110,HVAC,101,2020-09-22,4,NO,GR goods receipt,2020-09-22,4,NO,NO,4,2020-09-22,993,4400045334.0,B,NO,4,2020,S,WE,ZCON,55685.0
31000298,LOVEJOY SPIDER SIZE:95,8110,BOIS,101,2020-12-31,24,NO,GR goods receipt,2020-12-30,24,NO,NO,24,2020-12-31,672,4400047062.0,B,NO,24,2020,S,WE,ZCON,53657.0
31000298,LOVEJOY SPIDER SIZE:95,8110,BOIS,101,2020-08-07,20,NO,GR goods receipt,2020-08-05,20,NO,NO,20,2020-08-07,560,4400044102.0,B,NO,20,2020,S,WE,ZCON,55316.0
31000303,"RING SPANNER SET MM, MAKE: TAPARIA",8110,HVAC,101,2021-03-06,1,NO,GR goods receipt,2021-03-05,1,NO,NO,1,2021-03-06,1252,4400049002.0,B,NO,1,2021,S,WE,ZCON,55316.0
31000303,"RING SPANNER SET MM, MAKE: TAPARIA",8110,EQSP,101,2020-06-01,3,NO,GR goods receipt,2020-05-30,3,NO,NO,3,2020-06-01,3756,4400042079.0,B,NO,3,2020,S,WE,ZCON,53657.0
31000307,SET SPANNER TAPARIA 12-13,8110,EQSP,101,2020-06-01,3,NO,GR goods receipt,2020-05-30,3,NO,NO,3,2020-06-01,72,4400042079.0,B,NO,3,2020,S,WE,ZCON,50424.0
31000308,FLAT SPANNER 6-7,8110,EQSP,101,2020-06-01,3,NO,GR goods receipt,2020-05-30,3,NO,NO,3,2020-06-01,55,4400042079.0,B,NO,3,2020,S,WE,ZCON,52036.0
31000360,"PIPE HOLDING CLAMP ASSBLY 1"" SS 304",8110,UTL,101,2021-02-05,50,NO,GR goods receipt,2021-02-03,50,NO,NO,50,2021-02-05,9215,4400047998.0,B,NO,50,2021,S,WE,ZCON,52036.0
31000363,"SS 304 BEND 1""",8110,HVAC,101,2020-12-03,15,NO,GR goods receipt,2020-12-02,15,NO,NO,15,2020-12-03,684,4400046776.0,B,NO,15,2020,S,WE,ZCON,50674.0
31000363,"SS 304 BEND 1""",8110,UTL,101,2020-05-27,15,NO,GR goods receipt,2020-05-25,15,NO,NO,15,2020-05-27,655,4400040515.0,B,NO,15,2020,S,WE,ZCON,50424.0
31000364,WEARING RINGS,8110,BOIS,101,2020-07-22,1,NO,GR goods receipt,2020-07-22,1,NO,NO,1,2020-07-22,3465,4400039586.0,B,NO,1,2020,S,WE,ZCON,50048.0
31000377,"FOOT VALVE ZOLOTO 2.5""",8110,BOIS,101,2021-01-19,2,NO,GR goods receipt,2021-01-19,2,NO,NO,2,2021-01-19,3040,4400047468.0,B,NO,2,2021,S,WE,ZCON,50048.0
31000381,"BUTTERFLY VALVE 6"" MAKE:AUDCO",8110,BOIS,101,2021-01-19,10,NO,GR goods receipt,2021-01-19,10,NO,NO,10,2021-01-19,35900,4400047468.0,B,NO,10,2021,S,WE,ZCON,50048.0
31000381,"BUTTERFLY VALVE 6"" MAKE:AUDCO",8110,BOIS,101,2021-01-12,10,NO,GR goods receipt,2021-01-11,10,NO,NO,10,2021-01-12,35900,4400047206.0,B,NO,10,2021,S,WE,ZCON,56452.0
31000383,BEARINGS 6304 ZZ SKF,8110,EQSP,101,2020-12-26,15,NO,GR goods receipt,2020-12-18,15,NO,NO,15,2020-12-26,2672,4400045659.0,B,NO,15,2020,S,WE,ZCON,52034.0
31000391,"FOAM SLEEVES 7/8"" ID MAKE:SUPER LON(6FT)",8110,HVAC,101,2021-02-11,66,FT,GR goods receipt,2021-02-10,66,FT,FT,66,2021-02-11,1320,4400047975.0,B,FT,66,2021,S,WE,ZCON,52034.0
31000392,"OAM SLEEVES  1/2""ID MAKE: SUPER LON(6FT",8110,HVAC,101,2020-08-13,60,FT,GR goods receipt,2020-08-13,60,FT,FT,60,2020-08-13,288,4400044335.0,B,FT,60,2020,S,WE,ZCON,55685.0
31000402,"MS PIPE 2"" C CLASS",8110,BOIS,101,2021-01-15,120,M,GR goods receipt,2021-01-07,120,M,M,120,2021-01-15,40986,4400047302.0,B,M,120,2021,S,WE,ZCON,55685.0
31000402,"MS PIPE 2"" C CLASS",8110,HVAC,101,2020-06-05,72,M,GR goods receipt,2020-06-02,72,M,M,72,2020-06-05,19080,4400042072.0,B,M,72,2020,S,WE,ZCON,55685.0
31000418,RECIPROCATING COMPRESSOR MODEL NO.MTZ80H,8110,HVAC,101,2020-06-18,1,NO,GR goods receipt,2020-06-18,1,NO,NO,1,2020-06-18,69900,4400042715.0,B,NO,1,2020,S,WE,ZCON,50787.0
31000424,V BELT B-41 FENNER,8110,BOIS,101,2020-12-31,12,NO,GR goods receipt,2020-12-30,12,NO,NO,12,2020-12-31,2364,4400047062.0,B,NO,12,2020,S,WE,ZCON,51871.0
31000424,V BELT B-41 FENNER,8110,BOIS,101,2020-08-17,4,NO,GR goods receipt,2020-08-17,4,NO,NO,4,2020-08-17,788,4400043830.0,B,NO,4,2020,S,WE,ZCON,56426.0
31000425,"SELICON SEALANT GUN , MAKE:STANDARD",8110,UTL,101,2021-03-29,3,NO,GR goods receipt,2021-03-23,3,NO,NO,3,2021-03-29,1125,4400049983.0,B,NO,3,2021,S,WE,ZCON,50424.0
31000425,"SELICON SEALANT GUN , MAKE:STANDARD",8110,CCPJ,101,2021-01-28,6,NO,GR goods receipt,2021-01-28,6,NO,NO,6,2021-01-28,2250,4400047976.0,B,NO,6,2021,S,WE,ZCON,52036.0
31000425,"SELICON SEALANT GUN , MAKE:STANDARD",8110,HVAC,101,2020-09-01,10,NO,GR goods receipt,2020-08-31,10,NO,NO,10,2020-09-01,3750,4400044789.0,B,NO,10,2020,S,WE,ZCON,52036.0
31000425,"SELICON SEALANT GUN , MAKE:STANDARD",8110,CCPJ,101,2020-08-14,6,NO,GR goods receipt,2020-08-13,6,NO,NO,6,2020-08-14,900,4400044206.0,B,NO,6,2020,S,WE,ZCON,52036.0
